新系统供应商编码,_month,一级分类,下单金额,占比
V1408382,2017-07,运营电器,200.0,0.006232568285576279
V1408382,2017-07,鞋服配饰,906.0,0.028233534333660545
V1408393,2017-08,办公,375.0,0.034751181540172364
V1408393,2017-08,服务类,10416.0,0.9652488184598277
V1408396,2016-11,VI,550.0,0.4365079365079365
V1408396,2016-11,印刷,610.0,0.48412698412698413
V1408396,2016-11,装饰,100.0,0.07936507936507936
V1408407,2017-06,特色商品,2782.2,0.3090481733922208
V1408407,2017-06,食品饮料,6220.28,0.6909518266077792
V1408409,2016-02,VI,820.0,0.30158146377344613
V1408409,2016-02,办公,350.0,0.12872379551305627
V1408409,2016-02,印刷,1399.0,0.5145273997793306
V1408409,2016-02,服务类,150.0,0.055167340934166975
V1408409,2016-04,VI,250.0,0.0277623542476402
V1408409,2016-04,办公,2060.0,0.22876179900055524
V1408409,2016-04,印刷,5450.0,0.6052193225985564
V1408409,2016-04,服务类,1110.0,0.12326485285952249
V1408409,2016-04,鞋服配饰,135.0,0.014991671293725709
V1408420,2016-04,服务用品,1064.0,0.08517287532099928
V1408420,2016-04,特色商品,46.5,0.0037223108105511903
V1408420,2016-04,食品饮料,11381.74,0.9111048138684495
V1408427,2016-03,服务类,112.0,0.03361344537815126
V1408427,2016-03,消防安防,3220.0,0.9663865546218487
V1408427,2017-06,服务类,840.0,0.11666666666666667
V1408427,2017-06,消防安防,3460.0,0.48055555555555557
V1408427,2017-06,运营电器,2900.0,0.4027777777777778
V1408428,2016-10,特色商品,758.8,0.16763133477665357
V1408428,2016-10,食品饮料,3767.7999999999997,0.8323686652233465
V1408428,2016-11,特色商品,1894.0,0.19655254719232884
V1408428,2016-11,食品饮料,7742.1,0.8034474528076712
V1408428,2017-09,特色商品,1333.0,0.06515852144414355
V1408428,2017-09,食品饮料,19124.8,0.9348414785558564
V1408441,2017-06,服务用品,6896.0,0.9404705080122742
V1408441,2017-06,服务类,360.0,0.049096488237299694
V1408441,2017-06,鞋服配饰,76.5,0.010433003750426184
V1408441,2017-12,五金电气,9450.0,0.3100790455471665
